actual,predicted
190.78,190.78
190.701,190.701
190.7,190.7
190.78,190.78
190.7599,190.7599
190.805,190.805
190.7,190.7
190.79,190.79
190.89,190.89
190.94,190.94
190.94,190.94
190.9815,190.9815
190.96,190.96
190.96,190.96
190.95,190.95
190.98,190.98
190.97,190.97
190.93,190.93
191.0191,191.0191
191.07,191.07
191.14,191.14
191.174,191.174
191.165,191.165
191.1299,191.1299
191.2044,191.2044
191.19,191.19
191.2015,191.2015
191.1499,191.1499
191.03,191.03
190.955,190.955
190.96,190.96
191.125,191.125
191.1889,191.1889
191.17,191.17
191.1738,191.1738
191.18,191.18
191.155,191.155
191.265,191.265
191.16,191.16
191.17,191.17
191.39,191.39
191.395,191.395
191.44,191.44
191.44,191.44
191.515,191.515
191.56,191.56
191.66,191.66
191.7399,191.7399
191.8601,191.8601
192.31,192.31
191.765,191.765
192.16,192.16
192.24,192.24
192.26,192.26
192.024,192.024
192.26,192.26
192.115,192.115
192.16,192.16
192.47,192.47
192.33,192.33
192.36,192.36
192.33,192.33
192.34,192.34
192.35,192.35
192.35,192.35
192.33,192.33
192.34,192.34
192.35,192.35
192.35,192.35
192.34,192.34
192.35,192.35
192.3398,192.3398
192.33,192.33
192.25,192.25
192.25,192.25
192.31,192.31
192.27,192.27
192.25,192.25
192.33,192.33
192.31,192.31
192.29,192.29
192.4097,192.4097
192.38,192.38
192.33,192.33
192.33,192.33
192.301,192.301
192.31,192.31
192.37,192.37
192.35,192.35
192.38,192.38
192.39,192.39
192.41,192.41
192.42,192.42
192.39,192.39
192.48,192.48
192.46,192.46
192.45,192.45
192.47,192.47
192.47,192.47
192.46,192.46
192.46,192.46
192.47,192.47
192.38,192.38
192.42,192.42
192.39,192.39
192.37,192.37
192.37,192.37
192.38,192.38
192.38,192.38
192.3569,192.3569
192.32,192.32
192.36,192.36
192.38,192.38
192.34,192.34
192.35,192.35
192.33,192.33
192.33,192.33
192.33,192.33
192.25,192.25
192.42,192.42
192.3835,192.3835
192.4,192.4
